Situation;Nivel;Number;Imports;Changed_files;Changes;Deletion;Aditions;Size_body;Create_date;Closed_date;Merge_date;Diff_MergeLastModify;Diff_CreateNow;PR_comments;PR_size_comments;Review_comments;Review_size_comments;Issue_comments;Issue_size_comments;Qtd_labels;Commits
Open;Difficult;19975;0;5;27;7;20;1100;2021-10-15 13:15:02;;;;38 days 01:50:19.823749;8;1086;5;1086;7;1752;3;1
Open;Difficult;18481;7;1;5;1;4;157;2021-05-13 18:48:06;;;;192 days 20:17:18.138159;0;0;0;0;0;0;1;1
Open;Difficult;17329;12;10;427;37;390;81;2021-02-17 07:57:13;;;;278 days 07:08:14.990736;4;2598;8;2598;3;516;2;4
Open;Difficult;16746;2;11;870;6;864;47;2020-11-14 01:13:08;;;;373 days 13:52:23.771179;11;3886;14;3886;10;5529;3;3
Open;Difficult;16555;1;15;106;46;60;334;2020-10-16 18:16:06;;;;401 days 20:49:28.112162;5;0;0;0;3;525;2;4
Open;Difficult;16313;0;2;44;2;42;464;2020-09-07 08:09:23;;;;441 days 06:56:13.811341;5;238;1;238;3;1461;5;1
Open;Difficult;16313;0;2;44;2;42;464;2020-09-07 08:09:23;;;;441 days 06:56:16.202245;5;238;1;238;3;1461;5;1
Open;Difficult;15505;7;5;69;23;46;595;2020-06-21 08:49:40;;;;519 days 06:16:02.247588;15;1197;4;1197;14;5612;7;2
Open;Difficult;15505;7;5;69;23;46;595;2020-06-21 08:49:40;;;;519 days 06:16:04.899526;15;1197;4;1197;14;5612;7;2
Open;Difficult;14637;0;2;49;3;46;502;2020-04-18 20:24:28;;;;582 days 18:41:19.231367;1;0;0;0;0;0;2;2
Open;Difficult;13458;9;23;310;34;276;227;2019-11-30 22:14:47;;;;722 days 16:51:02.774815;5;0;0;0;4;521;2;1
Open;Difficult;12390;1;3;22;1;21;413;2019-05-23 13:32:30;;;;914 days 01:33:22.825534;6;0;0;0;5;2557;2;2
Open;Difficult;12096;0;2;6;1;5;616;2019-04-11 00:50:11;;;;956 days 14:15:44.149366;5;0;0;0;3;193;4;1
Open;Difficult;12096;0;2;6;1;5;616;2019-04-11 00:50:11;;;;956 days 14:15:46.008432;5;0;0;0;3;193;4;1
Open;Difficult;11594;0;3;77;23;54;75;2019-02-17 06:49:24;;;;1009 days 08:16:35.372685;5;0;0;0;4;876;2;2
Open;Difficult;10056;23;24;423;5;418;89;2018-07-25 19:58:29;;;;1215 days 19:07:33.067210;2;0;0;0;0;0;5;3
Open;Difficult;10056;23;24;423;5;418;89;2018-07-25 19:58:29;;;;1215 days 19:07:35.318584;2;0;0;0;0;0;5;3
Open;Difficult;9448;25;11;274;122;152;4813;2018-05-17 17:49:32;;;;1284 days 21:16:34.768747;5;0;0;0;3;385;4;2
Open;Difficult;8780;0;1;10;0;10;67;2018-03-22 13:17:14;;;;1341 days 01:48:56.964980;10;2312;4;2312;8;3468;5;1
Open;Difficult;8780;0;1;10;0;10;67;2018-03-22 13:17:14;;;;1341 days 01:48:59.509044;10;2312;4;2312;8;3468;5;1
Closed;Difficult;19367;4;4;45;33;12;729;2021-07-23 12:11:21;2021-07-23 18:26:42;2021-07-23 18:26:42;102 days 07:49:45;122 days 03:07:07.732907;1;0;0;0;1;38;1;1
Closed;Difficult;18360;0;7;300;48;252;443;2021-05-05 02:37:45;2021-05-05 16:11:17;2021-05-05 16:11:17;194 days 19:22:42;201 days 12:40:46.685556;2;331;7;331;2;320;2;1
Closed;Difficult;18239;6;2;70;0;70;4804;2021-04-21 22:36:19;2021-04-28 04:50:33;2021-04-28 04:50:33;208 days 09:34:44;214 days 16:42:17.013848;9;5779;24;5779;8;1795;5;1
Closed;Difficult;18239;6;2;70;0;70;4804;2021-04-21 22:36:19;2021-04-28 04:50:33;2021-04-28 04:50:33;208 days 09:34:44;214 days 16:42:20.946139;9;5779;24;5779;8;1795;5;1
Closed;Difficult;17909;4;4;148;71;77;12;2021-03-31 16:43:53;2021-04-03 15:30:18;;;235 days 22:34:49.206239;2;0;0;0;2;977;1;3
Closed;Difficult;17814;1;9;67;26;41;892;2021-03-26 14:43:25;2021-03-26 23:28:33;2021-03-26 23:28:33;221 days 18:07:34;241 days 00:35:19.737348;2;574;2;574;2;688;1;2
Closed;Difficult;17709;6;8;121;11;110;765;2021-03-19 21:09:24;2021-03-23 20:47:48;2021-03-23 20:47:48;224 days 20:48:19;247 days 18:09:24.889094;7;9269;22;9269;7;1238;1;3
Closed;Difficult;16687;0;2;13;8;5;736;2020-11-02 23:40:41;2020-11-03 00:23:49;2020-11-03 00:23:49;384 days 17:47:18;384 days 15:38:10.133091;2;0;0;0;2;140;1;2
Closed;Difficult;16566;0;4;14;7;7;767;2020-10-18 11:43:46;2020-10-18 21:07:32;2020-10-18 21:07:32;399 days 20:57:13;400 days 03:35:07.450078;1;0;0;0;1;151;1;2
Closed;Difficult;16308;8;9;201;12;189;1437;2020-09-06 12:01:35;2020-09-28 23:15:33;;;442 days 03:17:22.790916;19;2979;20;2979;18;5912;8;5
Closed;Difficult;16308;8;9;201;12;189;1437;2020-09-06 12:01:35;2020-09-28 23:15:33;;;442 days 03:17:26.452747;19;2979;20;2979;18;5912;8;5
Closed;Difficult;15933;0;7;215;111;104;139;2020-07-26 22:27:26;2020-07-27 18:00:32;2020-07-27 18:00:32;468 days 23:08:58;483 days 16:51:38.038410;3;0;0;0;3;191;1;4
Closed;Difficult;15721;3;3;36;3;33;742;2020-07-08 14:56:14;2020-07-13 19:45:33;;;502 days 00:22:52.900711;8;219;2;219;7;2722;5;1
Closed;Difficult;15721;3;3;36;3;33;742;2020-07-08 14:56:14;2020-07-13 19:45:33;;;502 days 00:22:55.115736;8;219;2;219;7;2722;5;1
Closed;Difficult;15683;0;2;55;0;55;98;2020-07-06 07:48:30;2020-07-06 22:48:56;2020-07-06 22:48:56;490 days 06:35:00;504 days 07:30:41.455294;2;0;0;0;1;30;5;1
Closed;Difficult;15683;0;2;55;0;55;98;2020-07-06 07:48:30;2020-07-06 22:48:56;2020-07-06 22:48:56;490 days 06:35:00;504 days 07:30:43.311380;2;0;0;0;1;30;5;1
Closed;Difficult;15329;0;7;106;21;85;211;2020-06-12 08:54:28;2020-06-15 17:54:01;;;528 days 06:24:48.311431;8;956;8;956;7;9580;5;2
Closed;Difficult;15248;0;5;100;33;67;243;2020-06-07 12:07:44;2020-06-08 14:59:53;;;533 days 03:11:35.153288;4;750;5;750;3;633;5;2
Closed;Difficult;15065;0;5;108;16;92;1554;2020-05-22 16:11:30;2020-06-16 18:15:17;;;548 days 23:07:54.589203;14;6289;24;6289;13;5229;5;2
Closed;Difficult;15065;0;5;108;16;92;1554;2020-05-22 16:11:30;2020-06-16 18:15:17;;;548 days 23:07:58.486327;14;6289;24;6289;13;5229;5;2
Closed;Difficult;15058;0;2;23;4;19;18;2020-05-21 15:07:38;2020-06-16 13:17:05;;;550 days 00:11:52.803530;3;0;0;0;3;240;1;1
Closed;Difficult;14979;0;3;36;21;15;732;2020-05-14 17:24:32;2020-05-15 06:23:39;2020-05-15 06:23:38;550 days 05:10:21;556 days 21:55:01.275768;1;0;0;0;1;114;1;1
Closed;Difficult;14802;1;1;20;0;20;1014;2020-04-30 00:58:55;2020-04-30 06:11:54;2020-04-30 06:11:53;565 days 05:22:06;571 days 14:20:40.855053;0;0;0;0;0;0;1;1
Closed;Difficult;14538;0;2;13;4;9;157;2020-04-10 14:35:41;2020-04-21 20:49:36;2020-04-21 20:49:36;579 days 21:15:09;591 days 00:43:58.420820;7;1939;13;1939;6;1020;3;1
Closed;Difficult;14244;0;3;63;25;38;936;2020-03-19 03:36:00;2020-04-05 20:19:46;;;613 days 11:43:42.000062;10;383;1;383;9;4245;5;8
Closed;Difficult;14244;0;3;63;25;38;936;2020-03-19 03:36:00;2020-04-05 20:19:46;;;613 days 11:43:44.068106;10;383;1;383;9;4245;5;8
Closed;Difficult;14028;0;2;26;1;25;733;2020-02-25 20:01:53;2020-03-27 07:17:27;2020-03-27 07:17:27;432 days 20:46:10;635 days 19:17:53.306344;3;0;0;0;2;118;4;1
Closed;Difficult;14028;0;2;26;1;25;733;2020-02-25 20:01:53;2020-03-27 07:17:27;2020-03-27 07:17:27;432 days 20:46:10;635 days 19:17:55.348506;3;0;0;0;2;118;4;1
Closed;Difficult;13996;0;1;5;0;5;93;2020-02-22 12:02:28;2020-02-24 19:45:01;2020-02-24 19:45:01;597 days 17:52:30;639 days 03:17:22.489902;2;0;0;0;2;437;1;1
Closed;Difficult;13953;0;1;17;7;10;237;2020-02-19 02:14:45;2020-02-25 22:04:13;2020-02-25 22:04:12;635 days 20:06:55;642 days 13:05:08.191681;1;96;2;96;1;153;4;1
Closed;Difficult;13953;0;1;17;7;10;237;2020-02-19 02:14:45;2020-02-25 22:04:13;2020-02-25 22:04:12;635 days 20:06:55;642 days 13:05:10.254435;1;96;2;96;1;153;4;1
Closed;Difficult;12999;14;13;303;13;290;1609;2019-08-13 19:00:15;2019-08-22 20:45:47;;;831 days 20:19:43.125109;23;184;3;184;21;17799;4;1
Closed;Difficult;12999;14;13;303;13;290;1609;2019-08-13 19:00:15;2019-08-22 20:45:47;;;831 days 20:19:46.264493;23;184;3;184;21;17799;4;1
Closed;Difficult;12142;2;10;105;30;75;129;2019-04-16 16:51:21;2019-05-09 21:11:58;;;950 days 22:28:43.288750;1;134;3;134;1;936;1;2
Closed;Difficult;11796;0;8;154;77;77;454;2019-03-06 08:45:28;2019-03-06 17:33:45;;;992 days 06:34:38.756112;2;0;0;0;2;74;1;22
Closed;Difficult;10110;0;8;136;65;71;655;2018-07-30 13:05:22;2018-07-30 17:11:55;;;1211 days 02:14:47.276845;2;0;0;0;2;629;1;25
Closed;Difficult;9425;9;9;105;65;40;407;2018-05-16 15:01:24;2018-05-17 20:26:00;;;1286 days 00:18:47.858602;3;0;0;0;2;185;3;3
Closed;Difficult;9369;21;18;225;3;222;364;2018-05-13 22:47:32;2018-07-24 20:50:35;;;1288 days 16:32:42.531044;6;147;2;147;3;1928;1;2
Closed;Difficult;9086;0;8;37;19;18;223;2018-04-13 17:36:28;2018-05-05 14:29:19;;;1318 days 21:43:48.753930;4;0;0;0;2;441;2;1
Closed;Difficult;9030;0;6;269;56;213;232;2018-04-09 08:04:21;2018-04-19 19:02:02;2018-04-19 19:02:02;1302 days 10:33:58;1323 days 07:15:58.047524;9;0;0;0;9;2365;1;4
Closed;Difficult;8725;0;1;5;0;5;285;2018-03-16 10:02:30;2018-05-13 11:29:05;;;1347 days 05:17:51.614311;8;349;1;349;6;530;6;1
Closed;Difficult;8725;0;1;5;0;5;285;2018-03-16 10:02:30;2018-05-13 11:29:05;;;1347 days 05:17:53.630110;8;349;1;349;6;530;6;1
Open;Easy;20323;0;2;15;1;14;625;2021-11-21 17:23:33;;;;0 days 22:01:26.400277;0;0;0;0;0;0;1;2
