Situation;Nivel;Number;Imports;Changed_files;Changes;Deletion;Aditions;Size_body;Create_date;Closed_date;Merge_date;Diff_MergeLastModify;Diff_CreateNow;PR_comments;PR_size_comments;Review_comments;Review_size_comments;Issue_comments;Issue_size_comments;Qtd_labels_pr;Qtd_labels_issue;Commits
Open;Difficult;19975;0;5;27;7;20;1100;2021-10-15 13:15:02;;;;47 days 07:00:41.880120;8;1086;5;1086;7;1752;3;4;1
Open;Difficult;18481;0;1;5;1;4;157;2021-05-13 18:48:06;;;;202 days 01:27:40.171891;0;0;0;0;0;0;1;3;1
Open;Difficult;17329;0;10;427;37;390;81;2021-02-17 07:57:13;;;;287 days 12:18:36.297616;4;2598;8;2598;3;516;2;3;4
Open;Difficult;16746;9;11;870;6;864;47;2020-11-14 01:13:08;;;;382 days 19:02:44.665390;11;3886;14;3886;10;5529;3;4;3
Open;Difficult;16555;4;15;106;46;60;334;2020-10-16 18:16:06;;;;411 days 01:59:48.860092;5;0;0;0;3;525;2;4;4
Open;Difficult;16313;0;2;44;2;42;464;2020-09-07 08:09:23;;;;450 days 12:06:34.222264;5;238;1;238;3;1461;5;5;1
Open;Difficult;16313;0;2;44;2;42;464;2020-09-07 08:09:23;;;;450 days 12:06:36.659644;5;238;1;238;3;1461;5;5;1
Open;Difficult;15505;0;5;69;23;46;595;2020-06-21 08:49:40;;;;528 days 11:26:23.920077;15;1197;4;1197;14;5612;7;6;2
Open;Difficult;15505;0;5;69;23;46;595;2020-06-21 08:49:40;;;;528 days 11:26:26.821454;15;1197;4;1197;14;5612;7;6;2
Open;Difficult;14637;0;2;49;3;46;502;2020-04-18 20:24:28;;;;591 days 23:51:40.983940;1;0;0;0;0;0;2;5;2
Open;Difficult;13458;1;23;310;34;276;227;2019-11-30 22:14:47;;;;731 days 22:01:24.275772;5;0;0;0;4;521;2;3;1
Open;Difficult;12390;1;3;22;1;21;413;2019-05-23 13:32:30;;;;923 days 06:43:43.474600;6;0;0;0;5;2557;2;3;2
Open;Difficult;12096;0;2;6;1;5;616;2019-04-11 00:50:11;;;;965 days 19:26:04.702543;5;0;0;0;3;193;4;2;1
Open;Difficult;12096;0;2;6;1;5;616;2019-04-11 00:50:11;;;;965 days 19:26:06.672601;5;0;0;0;3;193;4;2;1
Open;Difficult;11594;0;3;77;23;54;75;2019-02-17 06:49:24;;;;1018 days 13:26:55.899712;5;0;0;0;4;876;2;3;2
Open;Difficult;10056;5;24;423;5;418;89;2018-07-25 19:58:29;;;;1225 days 00:17:53.085360;2;0;0;0;0;0;5;5;3
Open;Difficult;10056;5;24;423;5;418;89;2018-07-25 19:58:29;;;;1225 days 00:17:55.066106;2;0;0;0;0;0;5;5;3
Open;Difficult;9448;7;11;274;122;152;4813;2018-05-17 17:49:32;;;;1294 days 02:26:53.986970;5;0;0;0;3;385;4;0;2
Open;Difficult;8780;0;1;10;0;10;67;2018-03-22 13:17:14;;;;1350 days 06:59:15.894120;10;2312;4;2312;8;3468;5;3;1
Open;Difficult;8780;0;1;10;0;10;67;2018-03-22 13:17:14;;;;1350 days 06:59:18.220926;10;2312;4;2312;8;3468;5;3;1
Closed;Difficult;19367;0;4;45;33;12;729;2021-07-23 12:11:21;2021-07-23 18:26:42;2021-07-23 18:26:42;122 days 00:49:12;131 days 08:05:20.819531;1;0;0;0;1;38;1;4;1
Closed;Difficult;18360;0;7;300;48;252;443;2021-05-05 02:37:45;2021-05-05 16:11:17;2021-05-05 16:11:17;210 days 02:20:09;210 days 17:38:59.708922;2;331;7;331;2;320;2;4;1
Closed;Difficult;18239;5;2;70;0;70;4804;2021-04-21 22:36:19;2021-04-28 04:50:33;2021-04-28 04:50:33;217 days 17:26:10;223 days 21:40:30.038221;9;5779;24;5779;8;1795;5;6;1
Closed;Difficult;18239;5;2;70;0;70;4804;2021-04-21 22:36:19;2021-04-28 04:50:33;2021-04-28 04:50:33;217 days 17:26:10;223 days 21:40:34.043948;9;5779;24;5779;8;1795;5;6;1
Closed;Difficult;17909;0;4;148;71;77;12;2021-03-31 16:43:53;2021-04-03 15:30:18;;;245 days 03:33:02.470387;2;0;0;0;2;977;1;4;3
Closed;Difficult;17814;0;9;67;26;41;892;2021-03-26 14:43:25;2021-03-26 23:28:33;2021-03-26 23:28:33;221 days 18:07:34;250 days 05:33:33.114392;2;574;2;574;2;688;1;2;2
Closed;Difficult;17709;0;8;121;11;110;765;2021-03-19 21:09:24;2021-03-23 20:47:48;2021-03-23 20:47:48;224 days 20:48:19;256 days 23:07:38.748428;7;9269;22;9269;7;1238;1;2;3
Closed;Difficult;16687;0;2;13;8;5;736;2020-11-02 23:40:41;2020-11-03 00:23:49;2020-11-03 00:23:49;393 days 15:38:47;393 days 20:36:24.180078;2;0;0;0;2;140;1;8;2
Closed;Difficult;16566;0;4;14;7;7;767;2020-10-18 11:43:46;2020-10-18 21:07:32;2020-10-18 21:07:32;409 days 01:57:31;409 days 08:33:21.543283;1;0;0;0;1;151;1;3;2
Closed;Difficult;16308;6;9;201;12;189;1437;2020-09-06 12:01:35;2020-09-28 23:15:33;;;451 days 08:15:36.568432;19;2979;20;2979;18;5912;8;8;5
Closed;Difficult;16308;6;9;201;12;189;1437;2020-09-06 12:01:35;2020-09-28 23:15:33;;;451 days 08:15:40.469867;19;2979;20;2979;18;5912;8;8;5
Closed;Difficult;15933;0;7;215;111;104;139;2020-07-26 22:27:26;2020-07-27 18:00:32;2020-07-27 18:00:32;468 days 23:08:58;492 days 21:49:51.664887;3;0;0;0;3;191;1;4;4
Closed;Difficult;15721;1;3;36;3;33;742;2020-07-08 14:56:14;2020-07-13 19:45:33;;;511 days 05:21:06.518910;8;219;2;219;7;2722;5;5;1
Closed;Difficult;15721;1;3;36;3;33;742;2020-07-08 14:56:14;2020-07-13 19:45:33;;;511 days 05:21:08.857195;8;219;2;219;7;2722;5;5;1
Closed;Difficult;15683;0;2;55;0;55;98;2020-07-06 07:48:30;2020-07-06 22:48:56;2020-07-06 22:48:56;490 days 06:35:00;513 days 12:28:55.069220;2;0;0;0;1;30;5;5;1
Closed;Difficult;15683;0;2;55;0;55;98;2020-07-06 07:48:30;2020-07-06 22:48:56;2020-07-06 22:48:56;490 days 06:35:00;513 days 12:28:57.059133;2;0;0;0;1;30;5;5;1
Closed;Difficult;15329;0;7;106;21;85;211;2020-06-12 08:54:28;2020-06-15 17:54:01;;;537 days 11:23:01.936961;8;956;8;956;7;9580;5;0;2
